price,num_bed,num_bath,property_size,km_from_cbd,suburb_lng,suburb_lat,suburb_population,suburb_median_income,type
610000,5,2,707,73.6,151.47632,-33.24015,5226,35256,3
1780000,4,3,1410,24.6,151.28137,-33.65154,997,54132,3
950000,5,4,1162,47.41,150.7719,-34.08767,4559,41912,3
883000,5,3,625,39.76,150.78794,-33.79794,19897,38896,3
820000,3,2,556,25.53,150.93855,-33.82378,22802,33800,3
680000,4,2,619,46.81,150.76318,-34.06403,11703,43680,3
680000,4,1,555,33.46,150.87007,-33.76242,13451,27612,3
670000,4,2,689,28.89,150.90114,-33.90435,9955,24128,3
905000,3,2,670,48.53,151.42812,-33.46746,4584,39728,3
860000,4,3,230,14.99,151.04789,-33.86491,19627,27248,10
750000,4,2,453,32.83,150.88065,-33.75523,6440,40768,3
635000,3,1,1075,48.53,151.42812,-33.46746,4584,39728,3
585000,5,2,575,40.43,150.80064,-33.73806,4752,24596,3
655000,3,1,450,32.26,150.87334,-33.94155,15313,36244,3
1475000,4,2,1204,24.6,151.28137,-33.65154,997,54132,3
1365000,3,1,404,6.75,151.1391,-33.87968,6457,41652,3
835000,3,1,556,20.97,150.98902,-33.90761,9038,29640,3
788000,4,2,463,32.26,150.87334,-33.94155,15313,36244,3
727000,1,1,67,3.3,151.17428,-33.86465,8725,75764,0
646000,3,1,556,35.32,150.845,-33.77213,14704,33176,3
585000,3,2,158,24.05,150.95681,-33.91492,9001,35880,10
510000,2,1,104,24.05,150.95681,-33.91492,9001,35880,0
2337000,4,3,414,16.58,151.28955,-33.73128,4767,45500,3
1175000,3,2,474,16.58,151.28955,-33.73128,4767,45500,3
927000,4,2,629,33.92,150.84426,-33.88752,7018,34944,3
730000,4,2,488,32.26,150.87334,-33.94155,15313,36244,3
627500,3,2,334,32.26,150.87334,-33.94155,15313,36244,3
600000,3,1,550,30.78,150.87759,-33.87884,9772,25376,3
2620000,4,2,575,23.17,150.96973,-33.80641,11318,34320,0
1100000,3,1,769,24.84,150.94148,-33.86713,7517,20696,3
998000,5,2,849,24.05,150.95681,-33.91492,9001,35880,3
940000,3,1,700,26.88,151.15004,-33.62806,4721,44200,3
690000,1,1,85,6.89,151.13772,-33.84987,2926,65676,0
575000,3,2,696,48.53,151.42812,-33.46746,4584,39728,2
1630000,5,3,600,14.99,151.04789,-33.86491,19627,27248,3
880000,3,2,288,14.99,151.04789,-33.86491,19627,27248,3
699000,3,1,645,48.41,150.69863,-33.7734,11790,37024,3
1131000,4,3,420,23.17,150.96973,-33.80641,11318,34320,2
645500,3,1,556,48.41,150.69863,-33.7734,11790,37024,3
430000,2,1,165,61.67,151.48543,-33.35917,6390,28288,11
1550000,5,3,556,14.02,151.27239,-33.75,6608,34008,3
1480000,2,2,108,3.3,151.17428,-33.86465,8725,75764,3
1280000,3,1,1296,29.97,150.89729,-33.93623,9311,22724,3
560000,3,1,557,46.81,150.76318,-34.06403,11703,43680,3
1226000,5,2,1220,48.53,151.42812,-33.46746,4584,39728,3
930000,4,2,670,24.05,150.95681,-33.91492,9001,35880,3
670000,3,3,733,35.32,150.845,-33.77213,14704,33176,3
650000,4,2,802,73.6,151.47632,-33.24015,5226,35256,3
2051000,4,3,545,15.92,151.13524,-33.99452,10304,37336,3
1515000,4,2,530,20.31,151.0648,-34.00258,3977,49296,3
1150000,3,2,562,17.67,151.05799,-33.96181,10539,31876,3
1130000,3,1,550,20.31,151.0648,-34.00258,3977,49296,3
690500,4,1,565,33.46,150.87007,-33.76242,13451,27612,3
2000000,4,3,900,14.29,151.14633,-33.98256,1660,39624,3
2200000,4,2,753,48.56,151.34373,-33.44184,1927,36868,3
1700000,3,2,183,4.57,151.16107,-33.87113,7616,58916,3
